ad_idx,name,url
25,굽네_갈비천왕,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B9%98%ED%82%A8_1318_4069_%EA%B3%B5%ED%86%B5/%5B%EA%B5%BD%EB%84%A4%EC%B9%98%ED%82%A8%5D+%EA%B5%BD%EB%84%A4+%EA%B0%88%EB%B9%84%EC%B2%9C%EC%99%95+CF+(%EC%94%A8%EC%A6%90+ASMR+ver.).mp4
26,교촌_허니콤보,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B9%98%ED%82%A8_1318_4069_%EA%B3%B5%ED%86%B5/%5B2018%EB%85%84+%EA%B5%90%EC%B4%8C%EC%B9%98%ED%82%A8+TV-CF%5D+%EA%B5%90%EC%B4%8C%ED%97%88%EB%8B%88%EC%BD%A4%EB%B3%B4.mp4
27,한율,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B2%AD%EC%86%8C%EB%85%84+%EC%8A%A4%ED%82%A8%EC%BC%80%EC%96%B4+%EA%B4%91%EA%B3%A0_1318_%EC%97%AC%EC%9E%90/CF+%EA%B4%91%EA%B3%A0+%EA%B9%80%EC%86%8C%ED%98%84+%ED%95%9C%EC%9C%A8+%EC%82%B0%EB%93%A4%EB%B0%95%ED%95%98+%ED%8A%B8%EB%9F%AC%EB%B8%94+%EC%8A%A4%ED%8C%9F%EC%A0%A4+%EC%98%A4%EB%8A%98%EB%B6%80%ED%84%B0+%EC%83%88+%EC%96%BC%EA%B5%B4+%ED%8E%B8+20s+2018.mp4
28,하다라보,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B2%AD%EC%86%8C%EB%85%84+%EC%8A%A4%ED%82%A8%EC%BC%80%EC%96%B4+%EA%B4%91%EA%B3%A0_1318_%EC%97%AC%EC%9E%90/2015+%ED%95%98%EB%8B%A4%EB%9D%BC%EB%B3%B4+%EA%B3%A0%EC%BF%A0%EC%A5%B0+%EC%A0%95%EC%9C%A0%EB%AF%B8+20%EC%B4%88.mp4
29,에뛰드,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B2%AD%EC%86%8C%EB%85%84+%EC%8A%A4%ED%82%A8%EC%BC%80%EC%96%B4+%EA%B4%91%EA%B3%A0_1318_%EC%97%AC%EC%9E%90/%5BETUDE+%EC%97%90%EB%9B%B0%EB%93%9C%5D+%EB%A0%88%EB%93%9C%EB%B2%A8%EB%B2%B3%EC%9D%98+%ED%94%BC%EB%B6%80%EB%B9%84%EA%B2%B0!+%EC%88%9C%ED%95%98%EA%B2%8C+%EC%A7%84%EC%A0%95!+%EC%88%9C%EC%A0%95+%ED%93%A8%EC%96%B4%EC%8A%A4%ED%86%A0%EB%A6%AC%E2%9D%A3.mp4
30,이니스프리,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B2%AD%EC%86%8C%EB%85%84+%EC%8A%A4%ED%82%A8%EC%BC%80%EC%96%B4+%EA%B4%91%EA%B3%A0_1318_%EC%97%AC%EC%9E%90/%5B%EC%9D%B4%EB%8B%88%EC%8A%A4%ED%94%84%EB%A6%AC%5D+%EC%9C%A4%EC%95%84%EA%B0%80+%EC%93%B0%EB%8A%94+%ED%99%94%EC%9E%A5%ED%92%88%EC%9D%80+%EB%AD%98%EA%B9%8C+%ED%95%9C%EB%9E%80+%EC%9D%B8%EB%A6%AC%EC%B9%98%EB%93%9C%ED%81%AC%EB%A6%BC+CF+(1).mp4
31,스킨푸드,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B2%AD%EC%86%8C%EB%85%84+%EC%8A%A4%ED%82%A8%EC%BC%80%EC%96%B4+%EA%B4%91%EA%B3%A0_1318_%EC%97%AC%EC%9E%90/%5B%EC%8A%A4%ED%82%A8%ED%91%B8%EB%93%9C%5D+%EA%B9%80%EC%9C%A0%EC%A0%95%EC%9D%98+%EC%97%B4%EB%A0%A4%EB%9D%BC+%EB%94%A5%EC%B4%89!+0.9+%EC%88%98%EB%B6%84+%ED%81%AC%EB%A6%BC+%EA%B4%91%EA%B3%A0+CF+15_.mp4
32,lg_코드제로,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B2%AD%EC%86%8C%EA%B8%B0_1939_4069_%EA%B3%B5%ED%86%B5/LG+%EC%BD%94%EB%93%9C%EC%A0%9C%EB%A1%9C+A9+-+%EB%AC%B4%EC%84%A0%EC%B2%AD%EC%86%8C%EA%B8%B0%EC%9D%98+%EC%83%88%EB%A1%9C%EC%9A%B4+%EC%8B%9C%EB%8C%80%EB%A5%BC+%EC%97%B4%EB%8B%A4+%ED%8E%B8+%EA%B4%91%EA%B3%A0.mp4
33,휴스톰_물걸레,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B2%AD%EC%86%8C%EA%B8%B0_1939_4069_%EA%B3%B5%ED%86%B5/%ED%9C%B4%EC%8A%A4%ED%86%B0+%EB%AC%BC%EA%B1%B8%EB%A0%88%EC%B2%AD%EC%86%8C%EA%B8%B0+CF%EC%98%81%EC%83%81.mp4
34,삼성_제트,https://s3.ap-northeast-2.amazonaws.com/sopt-seminar/%EC%B2%AD%EC%86%8C%EA%B8%B0_1939_4069_%EA%B3%B5%ED%86%B5/%EB%AF%B8%EC%84%B8%EB%A8%BC%EC%A7%80+%EA%B1%B1%EC%A0%95+%EC%97%86%EB%8A%94+%EC%B2%AD%EC%86%8C%EA%B8%B0+%EC%82%BC%EC%84%B1+%EC%A0%9C%ED%8A%B8+CF+%5B%ED%8E%B8%EC%9D%98%EC%84%B1+%ED%8E%B8%5D.mp4
